175;33474a;\x89\x44\x15\xf0;mov dword ptr [ebp+edx*1-0x10], eax
176;33474e;\xb9\x04\x00\x00\x00;mov ecx, 0x4
177;334753;\xc1\xe1\x00;shl ecx, 0x0
178;334756;\x8b\x54\x0d\xe0;mov edx, dword ptr [ebp+ecx*1-0x20]
179;33475a;\x81\xe2\x00\x02\x00\x00;and edx, 0x200
180;334760;\x74\x0d;jz 0x33476f
181;334762;\xa1\xac\x91\x33\x00;mov eax, dword ptr [0x3391ac]
182;334767;\x83\xc8\x02;or eax, 0x2
183;33476a;\xa3\xac\x91\x33\x00;mov dword ptr [0x3391ac], eax
184;33476f;\xb9\x04\x00\x00\x00;mov ecx, 0x4
185;334774;\xc1\xe1\x00;shl ecx, 0x0
186;334777;\x8b\x54\x0d\xf0;mov edx, dword ptr [ebp+ecx*1-0x10]
187;33477b;\x81\xe2\x00\x00\x10\x00;and edx, 0x100000
188;334781;\x0f\x84\xaa\x00\x00\x00;jz 0x334831
189;334787;\xc7\x05\xa8\x91\x33\x00\x02\x00\x00\x00;mov dword ptr [0x3391a8], 0x2
190;334791;\xa1\x2c\x90\x33\x00;mov eax, dword ptr [0x33902c]
191;334796;\x83\xc8\x04;or eax, 0x4
192;334799;\xa3\x2c\x90\x33\x00;mov dword ptr [0x33902c], eax
193;33479e;\xb9\x04\x00\x00\x00;mov ecx, 0x4
194;3347a3;\xc1\xe1\x00;shl ecx, 0x0
195;3347a6;\x8b\x54\x0d\xf0;mov edx, dword ptr [ebp+ecx*1-0x10]
196;3347aa;\x81\xe2\x00\x00\x00\x08;and edx, 0x8000000
197;3347b0;\x74\x7f;jz 0x334831
198;3347b2;\xb8\x04\x00\x00\x00;mov eax, 0x4
199;3347b7;\xc1\xe0\x00;shl eax, 0x0
200;3347ba;\x8b\x4c\x05\xf0;mov ecx, dword ptr [ebp+eax*1-0x10]
201;3347be;\x81\xe1\x00\x00\x00\x10;and ecx, 0x10000000
202;3347c4;\x74\x6b;jz 0x334831
203;3347c6;\x33\xc9;xor ecx, ecx
204;3347c8;\x0f\x01\xd0;xgetbv 
