271;191ecf;\xc7\x45\xfc\x00\x00\x00\x00;mov dword ptr [ebp-0x4], 0x0
272;191ed6;\xe8\x3b\xf4\xff\xff;call 0x191316
273;191316;\xe9\xd5\x1a\x00\x00;jmp 0x192df0
274;192df0;\x55;push ebp
275;192df1;\x8b\xec;mov ebp, esp
276;192df3;\x83\xec\x08;sub esp, 0x8
277;192df6;\xe8\x64\xe2\xff\xff;call 0x19105f
278;19105f;\xe9\x9c\x38\x00\x00;jmp 0x194900
279;194900;\x55;push ebp
280;194901;\x8b\xec;mov ebp, esp
281;194903;\x51;push ecx
282;194904;\x83\x3d\x30\x90\x19\x00\x00;cmp dword ptr [0x199030], 0x0
283;19490b;\x74\x09;jz 0x194916
284;19490d;\xc7\x45\xfc\x01\x00\x00\x00;mov dword ptr [ebp-0x4], 0x1
285;194914;\xeb\x07;jmp 0x19491d
286;19491d;\x8b\x45\xfc;mov eax, dword ptr [ebp-0x4]
287;194920;\x8b\xe5;mov esp, ebp
288;194922;\x5d;pop ebp
289;194923;\xc3;ret 
290;192dfb;\x85\xc0;test eax, eax
291;192dfd;\x75\x04;jnz 0x192e03
292;192e03;\xe8\x61\xe2\xff\xff;call 0x191069
293;191069;\xe9\x72\x1d\x00\x00;jmp 0x192de0
294;192de0;\x55;push ebp
295;192de1;\x8b\xec;mov ebp, esp
296;192de3;\x64\xa1\x18\x00\x00\x00;mov eax, dword ptr fs:[0x18]
297;192de9;\x5d;pop ebp
298;192dea;\xc3;ret 
299;192e08;\x8b\x40\x04;mov eax, dword ptr [eax+0x4]
300;192e0b;\x89\x45\xfc;mov dword ptr [ebp-0x4], eax
301;192e0e;\x8b\x4d\xfc;mov ecx, dword ptr [ebp-0x4]
302;192e11;\xba\x5c\x91\x19\x00;mov edx, 0x19915c
303;192e16;\x33\xc0;xor eax, eax
304;192e18;\xf0\x0f\xb1\x0a;lock cmpxchg dword ptr [edx], ecx
305;192e1c;\x89\x45\xf8;mov dword ptr [ebp-0x8], eax
306;192e1f;\x83\x7d\xf8\x00;cmp dword ptr [ebp-0x8], 0x0
307;192e23;\x74\x0e;jz 0x192e33
308;192e33;\x32\xc0;xor al, al
309;192e35;\x8b\xe5;mov esp, ebp
310;192e37;\x5d;pop ebp
311;192e38;\xc3;ret 
312;191edb;\x88\x45\xe6;mov byte ptr [ebp-0x1a], al
313;191ede;\x83\x3d\x58\x91\x19\x00\x01;cmp dword ptr [0x199158], 0x1
314;191ee5;\x75\x09;jnz 0x191ef0
315;191ef0;\x83\x3d\x58\x91\x19\x00\x00;cmp dword ptr [0x199158], 0x0
316;191ef7;\x75\x54;jnz 0x191f4d
